labels,text,expr_s,prob_expr_s,max_prob
sadness,When one's studies seem hopelessly difficult and uninteresting. ,shame,"[0.5072166994214058, 0.749955008427302, 0.7241640562812487, 0.7044527530670166, 0.0032940981909632683, 0.7802022894223531, 0.8094517836968104]",0.809451783696810
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted. ",shame,"[0.9029436310132345, 0.814423123995463, 0.8200262735287348, 0.6844768027464548, 0.016536493916646577, 0.7450485775868098, 0.9057561655839285]",0.905756165583928
shame,"When one has been unjust, stupid towards someone else. ",shame,"[0.8597341577212015, 0.9265864491462708, 0.576128159960111, 0.8671612640221914, 0.002095342924197515, 0.7000024554630121, 0.9509613911310831]",0.950961391131083
guilt,When one has neglected or been unjust to a good friend. ,guilt,"[0.6940713773171107, 0.6797067870696386, 0.49786846588055295, 0.9407381812731425, 0.010847990119752163, 0.6745549142360687, 0.9051656424999237]",0.9407381812731425
joy,Passing an exam I did not expect to pass. ,joy,"[0.3834529009958108, 0.10841397320230801, 0.42497627809643745, 0.6348840395609537, 0.8907172977924347, 0.2868633195757866, 0.19236824661493301]",0.8907172977924347
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable. ,guilt,"[0.7720881998538971, 0.6525366008281708, 0.8568732341130575, 0.9114899734656016, 0.3220153326789538, 0.8076460858186086, 0.8318743209044138]",0.9114899734656016
guilt,When excuses are necessary and I get out of doing it myself. ,shame,"[0.8003967354695002, 0.8083941439787546, 0.7489843219518661, 0.6770820322756966, 0.01595647105326255, 0.7443248877922694, 0.8809200922648112]",0.880920092264811
joy,When I had my children. ,guilt,"[0.4817696064710617, 0.2728235125541687, 0.4879917949438095, 0.8150399625301361, 0.8070417443911234, 0.548076101889213, 0.458488404750824]",0.8150399625301361
fear,When my year old son climbed up and sat on the th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down. ,guilt,"[0.6072591890891393, 0.5207431117693583, 0.8197911183039347, 0.8394336601098379, 0.3282274877031644, 0.694126546382904, 0.6732035477956136]",0.8394336601098379
anger,When my partner was attacked and lost three teeth. ,fear,"[0.8926924765110016, 0.800709734360377, 0.9092202186584473, 0.8995974163214365, 0.16287321244211247, 0.7043688036501408, 0.7490195631980896]",0.9092202186584473
sadness,When I see children on T. V from areas devastated by drought and war. ,anger,"[0.9116282761096954, 0.7606405814488729, 0.7754690647125244, 0.7943791647752126, 0.08057437247286241, 0.7092802251378695, 0.6705856025218964]",0.9116282761096954
disgust,When I nearly walked on a blindworm and then saw it crawl away. ,fear,"[0.9067287643750509, 0.9303649365901947, 0.9424825807412466, 0.9223005672295889, 0.4786609758933385, 0.8110652168591818, 0.9355379144350687]",0.9424825807412466
shame,When I saw my year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me. ,guilt,"[0.5388221790393194, 0.7382649083932241, 0.8373917440573374, 0.9497761428356171, 0.05162450109492056, 0.8370675692955653, 0.8467738529046377]",0.9497761428356171
guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing. ",guilt,"[0.08647879853378981, 0.11996896953011553, 0.3106072045241793, 0.7538077073792616, 0.00044500808022955124, 0.5689491666853428, 0.444259491438667]",0.7538077073792616
joy,When my child was born. ,joy,"[0.5149449855089188, 0.2736204465230306, 0.43762893229722977, 0.7687515765428543, 0.8529766897360483, 0.5628089234232903, 0.38907333215077716]",0.8529766897360483
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head. ",fear,"[0.7261017461617788, 0.6905344128608704, 0.9558539489905039, 0.9106054306030273, 0.2829311129947503, 0.85161821047465, 0.8375873068968455]",0.9558539489905039
anger,"Unjust accusations directed at me and my way of acting, by someone close to me. ",shame,"[0.9732182423273722, 0.9828301668167114, 0.9116433560848236, 0.7132713799364865, 0.0010501412507437635, 0.5695396289229393, 0.9846903582413992]",0.984690358241399
sadness,Failing an examination. ,shame,"[0.8983935912450155, 0.954467902580897, 0.8893672724564871, 0.9579171538352966, 0.0019683840801008046, 0.9270947178204855, 0.990490734577179]",0.99049073457717
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness. ",disgust,"[0.39822591732566553, 0.9716252982616425, 0.7895207218825817, 0.9007036785284678, 0.0032343075290555134, 0.9602782328923544, 0.9419804513454437]",0.9716252982616425
shame,"When, as an adult I have been caught lying or behaving badly. ",shame,"[0.7137091159820557, 0.719469944636027, 0.602522666255633, 0.8894808987776438, 0.006988798476716814, 0.5403625251104435, 0.9458966056505839]",0.945896605650583
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am. ",anger,"[0.36815545459588367, 0.09617990100135405, 0.21688141953200102, 0.2797747751077016, 0.34037709794938564, 0.32808252175649005, 0.09213114405671756]",0.36815545459588367
joy,When I saw a person I had not seen for a long time. ,guilt,"[0.27174758166074753, 0.18081429849068323, 0.2801392401258151, 0.6233575344085693, 0.6179328362147013, 0.4962582066655159, 0.3237994685769081]",0.6233575344085693
fear,"When, as a child, I was nearly knocked down by a car. ",fear,"[0.8773513933022817, 0.7709794541200002, 0.9281847576300303, 0.9162123799324036, 0.3456958755850792, 0.7891093989213308, 0.8572773337364197]",0.9281847576300303
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way. ",anger,"[0.9642022450764974, 0.9408547381560007, 0.9552233417828878, 0.8846549491087595, 0.21914666188725582, 0.8629466891288757, 0.8976418574651083]",0.9642022450764974
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else. ",sadness,"[0.35523934848606586, 0.24094418995082378, 0.3933430810769399, 0.6297031889359156, 0.07701545918826014, 0.762108713388443, 0.3733517589668433]",0.762108713388443
disgust,When one learns through the mass media all the wars and killing going on in the world. ,fear,"[0.884962797164917, 0.8900531629721323, 0.8941774765650431, 0.6451814969380697, 0.00722847768823461, 0.7452068055669466, 0.7911172111829122]",0.8941774765650431
shame,"I lied, to be precise I cancelled a meeting with a good friend. ",guilt,"[0.7219841678937277, 0.7071951826413473, 0.7158479591210684, 0.9590857923030853, 0.03501335073572894, 0.8590374092260996, 0.9398408234119415]",0.9590857923030853
guilt,When one lets friends down ,shame,"[0.7641757776339849, 0.8304388523101807, 0.6763375004132589, 0.9769235948721567, 0.0005117899490869604, 0.7993624607721964, 0.9790521363417307]",0.979052136341730
joy,When I was accepted for a course on finance and accounting. ,joy,"[0.2857383651038011, 0.13193290680646896, 0.3321023726214965, 0.5403797874848048, 0.7521789570649465, 0.24367420313258967, 0.23402983012298742]",0.7521789570649465
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened. ",fear,"[0.6956182519594828, 0.6750268836816152, 0.8969574272632599, 0.8186500072479248, 0.10251757813966833, 0.7624360223611196, 0.736688474814097]",0.8969574272632599
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own. ",sadness,"[0.7689686119556427, 0.6443306555350622, 0.7862634062767029, 0.8509493966897329, 0.3600746529797713, 0.8632906675338745, 0.8614750603834788]",0.8632906675338745
sadness,When I was not accepted as a student in finance and accounting. ,shame,"[0.8094356060028076, 0.8012531995773315, 0.84479820728302, 0.9163524806499481, 0.19931900997956595, 0.8982866009076437, 0.9541167120138804]",0.954116712013880
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted. ,disgust,"[0.9378855228424072, 0.9703052838643392, 0.8265982071558634, 0.8943817218144735, 0.1229777227466305, 0.7913187344868978, 0.9383788903554281]",0.9703052838643392
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays. ,shame,"[0.5965143541495005, 0.8282533884048462, 0.6830195734898249, 0.8932991723219553, 0.09905805207866554, 0.8538081844647726, 0.9421559671560923]",0.942155967156092
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him. ,guilt,"[0.6894361277421316, 0.6752071032921473, 0.6022325803836187, 0.8523947497208914, 0.3897070437669754, 0.7961566050847372, 0.8113276859124502]",0.8523947497208914
joy,Passed an exam by points. ,joy,"[0.016114804311655462, 0.004827799207608526, 0.04632223763231499, 0.25831338049223024, 0.5671221887071928, 0.019155437670027215, 0.003935316975306098]",0.5671221887071928
fear,"In a cottage in a large forest, I was alone for a while in the dark. ",fear,"[0.6185583372910818, 0.554731289545695, 0.8985741237799326, 0.8048698008060455, 0.41576534261306125, 0.8945868810017904, 0.6625481198231379]",0.8985741237799326
sadness,Railway station good-bye. ,sadness,"[0.44855512244005996, 0.5125832160313925, 0.6954860438903173, 0.7933472941319147, 0.23402844470304748, 0.8877192437648773, 0.7243383626143137]",0.8877192437648773
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter. ,shame,"[0.731372743844986, 0.8455615043640137, 0.8405485053857168, 0.8778675496578217, 0.04472901753615588, 0.8689238826433817, 0.9422608415285746]",0.942260841528574
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that. ,guilt,"[0.5350983515381813, 0.6425882627566656, 0.7183201611042023, 0.8718243539333344, 0.4053529178102811, 0.8404363294442495, 0.726661761601766]",0.8718243539333344
guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend. She finished with him. ,guilt,"[0.8894132177035013, 0.8719178934892019, 0.7201379686594009, 0.968032310406367, 0.10059582310107847, 0.78725732366244, 0.9155331949392954]",0.968032310406367
joy,I passed an exam that I was absolutely certain that I had failed. ,guilt,"[0.6089877163370451, 0.5361732592185339, 0.7230153133471807, 0.8156719207763672, 0.47087931881348294, 0.6661608045299848, 0.7647967139879862]",0.8156719207763672
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard I was very scared till I managed to get him back onboard. ",fear,"[0.785022646188736, 0.5858285476764044, 0.9651677707831064, 0.914166788260142, 0.27909697654346627, 0.8240625560283661, 0.7471922238667806]",0.9651677707831064
anger,I locked myself out. ,guilt,"[0.8995221753915151, 0.8449702362219492, 0.935046523809433, 0.9818866848945618, 0.13027717592194676, 0.937251478433609, 0.9556763668855032]",0.9818866848945618
sadness,I missed the last tram home and had to walk in the pouring rain. ,guilt,"[0.9318376978238424, 0.8479203681151072, 0.9025124112764994, 0.9588209092617035, 0.12057660904247314, 0.9210818707942963, 0.9513151049613953]",0.9588209092617035
disgust,I found some worms in the food and I had obviously eaten some. ,guilt,"[0.8069812655448914, 0.8785484035809835, 0.8916198511918386, 0.9765131672223409, 0.13774631917476654, 0.7562345837553343, 0.9306857784589132]",0.9765131672223409
shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents. ",guilt,"[0.729319284359614, 0.5767978380123774, 0.6277235746383667, 0.8291235466798147, 0.12863166230575493, 0.6157539136086901, 0.7900094389915466]",0.8291235466798147
guilt,I hapened to overhear something which I was not meant to hear. ,guilt,"[0.7149819334348043, 0.6877573430538177, 0.7261101603507996, 0.8024371564388275, 0.031239702133461833, 0.6727722734212875, 0.7019778887430826]",0.8024371564388275
joy,When I won a trip to Greece in a competition. ,joy,"[0.29002612580855686, 0.13271432742476463, 0.21617010049521923, 0.5329434325297674, 0.8051430384318033, 0.24471433584888777, 0.15495815128087997]",0.8051430384318033
fear,When I am out in the dark and a suspicious looking character comes towards me. ,fear,"[0.634765033920606, 0.5448938459157944, 0.926834245522817, 0.7631960014502207, 0.1107845949397112, 0.5870669682820638, 0.667270248134931]",0.926834245522817
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me. ",shame,"[0.936297724644343, 0.9454181691010793, 0.9162760674953461, 0.9160526196161906, 0.011963582665581876, 0.7860905478398005, 0.9682148694992065]",0.968214869499206
sadness,When I had not understood anything after a lecture. ,guilt,"[0.7084564914306005, 0.5334001034498215, 0.6695563594500223, 0.7622848848501841, 0.009602231710838774, 0.6935268690188726, 0.7567775696516037]",0.7622848848501841
disgust,When an alcoholic stood dribbling over a food counter. ,shame,"[0.8606606125831604, 0.8767420252164205, 0.7975630263487498, 0.901097814242045, 0.032883227608787514, 0.6061322912573814, 0.9065159857273102]",0.906515985727310
shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening. ,guilt,"[0.09100346135285993, 0.002208346142045533, 0.03396600962150842, 0.46228943516810733, 0.24860580265522003, 0.03300616960041225, 0.2067834933210785]",0.46228943516810733
guilt,When I complained about a colleague to the manager and he told her that someone had complained this colleague came to me believing that I liked her. ,guilt,"[0.3202364289512237, 0.04136014527951678, 0.1717925051537653, 0.6681174288193384, 0.05358604481443763, 0.37363716401159763, 0.4595537632703781]",0.6681174288193384
joy,At a friend's birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends. ,joy,"[0.0008199802105082199, 0.0007024818090333914, 0.008171499619493261, 0.2137265388543407, 0.9364286363124847, 0.0020253103769694767, 0.005620375362923369]",0.9364286363124847
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds. ,guilt,"[0.6528534640868505, 0.5306134025255839, 0.7801436086495718, 0.8901996115843455, 0.31011666109164554, 0.7419173916180929, 0.614048644900322]",0.8901996115843455
anger,Mad at my dad. ,anger,"[0.9949024617671967, 0.9832944770654043, 0.6395533053825299, 0.8434340755144755, 0.004162820839458921, 0.45943852824469406, 0.9538364807764689]",0.9949024617671967
sadness,A case of unrequited love. ,sadness,"[0.001595727235932524, 0.002167721414783349, 0.005382164551216799, 0.09256228595040739, 0.013680008007213473, 0.16751137359339432, 0.0034826062619686127]",0.16751137359339432
disgust,A bad smelling cucumber. ,disgust,"[0.7006243442495664, 0.9892866710821787, 0.732504352927208, 0.7859523991743723, 0.0006416982820762011, 0.6115908225377401, 0.9859845240910848]",0.9892866710821787
shame,Nearly caught masturbating. ,shame,"[0.8004350314537684, 0.8296118477980295, 0.9280363619327545, 0.8893773853778839, 0.002190072452018891, 0.3630301551311277, 0.9505189955234528]",0.950518995523452
guilt,I do not help out enough at home. ,guilt,"[0.7593725671370825, 0.6273460611701012, 0.6510370075702667, 0.9489436050256094, 0.08655882083500425, 0.8029249211152395, 0.9013181428114573]",0.9489436050256094
joy,I felt very happy when I won the football pools. ,joy,"[0.0006192791673432415, 0.0005528272983307639, 0.017331401109307382, 0.24141988557918617, 0.9611144363880157, 0.0005508845036577744, 0.0026068422303069383]",0.9611144363880157
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash. ,fear,"[0.8301663200060526, 0.7903807957967123, 0.9765679041544596, 0.8702183365821838, 0.24555703011962274, 0.8658448358376821, 0.7885930836200714]",0.9765679041544596
anger,When someone stole my bike. ,anger,"[0.9566876490910848, 0.8928885757923126, 0.9364485641320547, 0.9418303668498993, 0.01352217075570176, 0.8495789170265198, 0.9505409300327301]",0.9566876490910848
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it! "" ",fear,"[0.7262216111024221, 0.5953462421894073, 0.9615807433923086, 0.7246596316496531, 0.12993734931418052, 0.7758672883113226, 0.6022855614622434]",0.9615807433923086
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year . An illustration showed a frog between two pieces of bread. ,fear,"[0.735577255487442, 0.8249267240365347, 0.8903840283552805, 0.7319807062546412, 0.31998734874650836, 0.5901281808813413, 0.4932379275560379]",0.8903840283552805
shame,When I dropped a bottle in the state liquor store and everyboby started laughing. ,guilt,"[0.5882587134838104, 0.14884112061311802, 0.1719529408340653, 0.9047554830710093, 0.5592225237439076, 0.2909466807420055, 0.8438363671302795]",0.9047554830710093
guilt,"When I was young - , I pinched from a store and was caught. The store then contacted my parents. ",guilt,"[0.7997702956199646, 0.8122094869613647, 0.8363627890745798, 0.9423207342624664, 0.23373152874410152, 0.7594437251488367, 0.9371975759665171]",0.9423207342624664
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves. ,joy,"[0.07527073659002781, 0.047544886668523155, 0.09559806956288715, 0.36357100556294125, 0.92200834552447, 0.05699237591276566, 0.11819128443797429]",0.92200834552447
fear,"When I could not find my year old daughter. I ran and looked for her everywhere and could not find her. (I finally found her, she had gone to bed to sleep) ",fear,"[0.879412978887558, 0.7733838856220245, 0.9650251666704813, 0.9429375429948171, 0.28338761317233246, 0.9363079170385996, 0.876095583041509]",0.9650251666704813
anger,When friends try to put me down or hurt me. ,anger,"[0.8825340767701467, 0.8020913402239481, 0.8324903547763824, 0.6583276639382044, 0.00212342855714572, 0.6397504533330599, 0.8485262095928192]",0.8825340767701467
sadness,Marriage crises. Boredom. ,sadness,"[0.36429568752646446, 0.5806729445854822, 0.5852969102561474, 0.5628931969404221, 0.002325050586174863, 0.7930403550465902, 0.5425258427858353]",0.7930403550465902
disgust,When someone makes advances that one does not want. ,anger,"[0.8319332102934519, 0.7540912280480067, 0.6817079111933708, 0.7549704015254974, 0.023778529352663707, 0.46022933907806873, 0.6801055173079172]",0.8319332102934519
shame,The discovery that one has only thought of oneself. ,joy,"[0.11417349955687921, 0.05481315745661656, 0.20356706654032072, 0.11719489376991987, 0.37974399824937183, 0.3029453760633866, 0.2577323094010353]",0.37974399824937183
guilt,When I spanked a child in anger and later regretted it terribly. ,guilt,"[0.9119027356306711, 0.9291147092978159, 0.7180636450648308, 0.9657572408517202, 0.008406026713297857, 0.7068038359284401, 0.9352879722913107]",0.9657572408517202
joy,When I passed the first examination that I had to repeat. ,guilt,"[0.43008054171999294, 0.3546201189359029, 0.41999175647894543, 0.7150891274213791, 0.6760197679201762, 0.482442965110143, 0.44971250742673874]",0.7150891274213791
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit. ,guilt,"[0.7619360586007436, 0.6549009879430135, 0.8240092595418295, 0.9043637017409006, 0.3043448415895303, 0.7663558473189672, 0.8367906014124552]",0.9043637017409006
anger,When my boyfriend went away for a month long holiday without me. ,sadness,"[0.7199282050132751, 0.5620708415905634, 0.7428341209888458, 0.8214735488096873, 0.27835447651644546, 0.8636745313803355, 0.7708513140678406]",0.8636745313803355
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat my boyfriend went to Greece for a holiday for a month. ,guilt,"[0.7153744300206503, 0.5668803801139196, 0.704444631934166, 0.88139209151268, 0.3704586289823055, 0.7464566628138224, 0.7932985723018646]",0.88139209151268
disgust,When a dog is left whining outside a shop. ,shame,"[0.9307539264361063, 0.8854951163132986, 0.80583855509758, 0.9191242655118307, 0.007877887275147563, 0.8109389096498489, 0.9325373967488607]",0.932537396748860
shame,When I promised to help a friend over a weekend and did not keep the promise. ,guilt,"[0.9093655943870544, 0.7968475917975107, 0.8020718942085902, 0.9538236856460571, 0.019981806923169643, 0.8538293242454529, 0.9451893468697866]",0.9538236856460571
guilt,When I realized that I had three more examinations to take. ,guilt,"[0.5573726346095403, 0.4945795089006424, 0.7509304384390513, 0.7722658018271128, 0.09739586873911321, 0.710490827759107, 0.624922588467598]",0.7722658018271128
joy,The day I was told that I had been accepted as a student of economics. ,joy,"[0.2651791951308648, 0.11319438988963763, 0.23188238653043905, 0.4875504672527313, 0.8768133024374644, 0.2666929016510646, 0.16982436490555605]",0.8768133024374644
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people. ",fear,"[0.899890790383021, 0.8530064324537913, 0.985113133986791, 0.9229885637760162, 0.2484768183591465, 0.7932208478450775, 0.8769384423891703]",0.985113133986791
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i. e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used . ",anger,"[0.9925182660420736, 0.8684393813212713, 0.7970281342665354, 0.8290597895781199, 0.2390009860197703, 0.7678714245557785, 0.9483446776866913]",0.9925182660420736
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future. ,fear,"[0.5265292053421339, 0.6525485416253408, 0.9759810368220011, 0.8759186069170634, 0.029900621516086783, 0.7836621999740601, 0.7756775120894114]",0.9759810368220011
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen they seemed to be enjoying themselves. ,disgust,"[0.9830467502276102, 0.9843195080757141, 0.8168746630350748, 0.7249105721712112, 0.02960770602415626, 0.6478059416015943, 0.9390329519907633]",0.9843195080757141
shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier. ",shame,"[0.5607948824763298, 0.8174764116605123, 0.851521372795105, 0.9139672517776489, 0.15835572506087678, 0.7703121950229009, 0.9527909358342489]",0.952790935834248
guilt,"When I am dishonest to a friend to whom I am very close. I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong. ",guilt,"[0.6735468854506811, 0.7288431972265244, 0.7551669875780741, 0.956319659948349, 0.18437704560346901, 0.8085779398679733, 0.9143500427405039]",0.956319659948349
joy,When I found out that I had passed the last two exams by a margin of three marks. ,joy,"[0.5862622112035751, 0.2928181439638138, 0.40808404485384625, 0.6268083701531092, 0.8575095434983572, 0.47812260687351227, 0.3387034193923076]",0.8575095434983572
fear,When my father was ill and was waiting for the results of his tests. ,sadness,"[0.48353071759144467, 0.3894451856613159, 0.7518349438905716, 0.7625555793444315, 0.23924290668219328, 0.791336456934611, 0.5672897497812907]",0.791336456934611
anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me. ,guilt,"[0.8620372712612152, 0.6719445089499155, 0.8780883948008219, 0.9404643873373667, 0.18805405513073006, 0.8412115275859833, 0.8915475706259409]",0.9404643873373667
sadness,When I failed an exam. ,shame,"[0.8216001888116201, 0.8500505785147349, 0.8952364722887675, 0.9680930078029633, 0.0028765294749367363, 0.8652434299389521, 0.9785340030988058]",0.978534003098805
shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor. ",guilt,"[0.7237233569224676, 0.6429530531167984, 0.6400580282012621, 0.9601477384567261, 0.004154994268901646, 0.7851110498110453, 0.8864670296510061]",0.9601477384567261
guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy. This meant that he had to work hard and was not very well later. ",guilt,"[0.16981975408270955, 0.06426917839174469, 0.11620842975874741, 0.4834790329138438, 0.10992804216220975, 0.4131532882650693, 0.29967839146653813]",0.4834790329138438
joy,When I gave birth to my son and saw that he was alive and that I had managed it well. He was born a month too early with a malfunctioning lung. This happened a year ago. ,joy,"[0.31809191405773163, 0.10966229935487111, 0.294010854481409, 0.5373559643824896, 0.8876588046550751, 0.5447214767336845, 0.18509832272926965]",0.8876588046550751
fear,When I found out that my father had lung cancer and they did not know how long he would live. ,fear,"[0.6792751451333364, 0.5959644764661789, 0.9266916811466217, 0.8393586178620657, 0.2574944955607255, 0.8876550495624542, 0.6883323391278585]",0.9266916811466217
anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had. ",guilt,"[0.8584872682889303, 0.6071635782718658, 0.6964808901151022, 0.9436191121737162, 0.26947930455207825, 0.7993596196174622, 0.8647000094254812]",0.9436191121737162
