labels,text,emotion,prob_emotion,prob_max
joy,Oh and off to work till midnight -. - ,anger,"[0.9323712885379791, 0.7775683104991913, 0.8788458108901978, 0.19339940696954727, 0.7864957451820374, 0.8758766949176788]",0.9323712885379791
surprise,I have a package at the post office. Can't think what could be in it. I don't remember internet shopping while drinking. ,surprise,"[0.7669085562229156, 0.19907356053590775, 0.6354755759239197, 0.08338259160518646, 0.2641570195555687, 0.9896388053894043]",0.9896388053894043
joy, bahahahaha so many things i could say. . . RT  I just shit my pants. Pure % gravy. ,surprise,"[0.39714574441313744, 0.9117537438869476, 0.49308326840400696, 0.2984376549720764, 0.14226209977641702, 0.9358067512512207]",0.9358067512512207
sadness, morning ) oh what a bad episode to come in towards the end. . . And only more episode? ? ,anger,"[0.9719040393829346, 0.9584788084030151, 0.8515608608722687, 0.04842529073357582, 0.9171314537525177, 0.958718478679657]",0.9719040393829346
fear,large crowds of manic football fans amp mascots ,anger,"[0.8863378167152405, 0.02647143928334117, 0.48855533450841904, 0.539295107126236, 0.003038245369680226, 0.6188286393880844]",0.8863378167152405
joy,There is no concrete equation for joy. you can't explain how to get in your life. ,joy,"[0.007428630022332072, 0.004593068617396057, 0.01975321164354682, 0.9766662418842316, 0.005707280710339546, 0.9235675632953644]",0.9766662418842316
joy,I don't need present's of king's but just just to be in the presence of The King Peace PleasuresForEvermore ,joy,"[0.002028173068538308, 0.0012505443883128464, 0.001807935710530728, 0.9891994595527649, 0.0030403322307392955, 0.8590975105762482]",0.9891994595527649
joy,All my battles r surely handled properly amp never by me . . . it feels so good ,joy,"[0.015667359810322523, 0.001359893154585734, 0.008800785057246685, 0.9769980609416962, 0.0024674481246620417, 0.6597135365009308]",0.9769980609416962
joy,Bringing my cousin amp his friend to jingle jam amp they get to see drake amp i dontt ? fml ,surprise,"[0.9123183488845825, 0.8948996961116791, 0.2782294414937496, 0.7088052034378052, 0.4705154672265053, 0.9218566417694092]",0.9218566417694092
joy,Nobody up worth talking too so back to sleep I try to go! ,anger,"[0.9353263676166534, 0.6191720366477966, 0.5283741354942322, 0.0807851105928421, 0.8035817444324493, 0.6790794730186462]",0.9353263676166534
joy,"Even if you're bad  something, i cant knock you if you try. / the time, those ppl are the s that love it the most. Don't kill their ",joy,"[0.21585212647914886, 0.13932602852582932, 0.09009931236505508, 0.6227948069572449, 0.040655579417943954, 0.405906081199646]",0.6227948069572449
fear,Someone on my high school football team is also called Moriarty. ,surprise,"[0.6689106523990631, 0.501833513379097, 0.3904792219400406, 0.26331982016563416, 0.26567286998033524, 0.8483448624610901]",0.8483448624610901
anger,I just absolutely lost my mind. . ( ,surprise,"[0.9790954291820526, 0.7764527499675751, 0.9661322832107544, 0.3280908949673176, 0.44249374978244305, 0.9925547540187836]",0.9925547540187836
joy,Christmas lights? Check! ) now its time to decorate inside. . ,joy,"[0.10696862637996674, 0.007516313227824867, 0.04959711991250515, 0.8940019309520721, 0.011930212378501892, 0.7902204394340515]",0.8940019309520721
joy,"Obscura, de app van  is awesome. Zowel  als ik stonden daardoor al op de homepage van La fille d'O. ",surprise,"[0.13262657076120377, 0.019164707511663437, 0.15688534080982208, 0.9442099332809448, 0.09102007560431957, 0.984704852104187]",0.984704852104187
anger,My earlier tweet should've said quotI sometimes think I'm the youngest person. . . quot ,surprise,"[0.7988659739494324, 0.190381720662117, 0.27499429881572723, 0.5491416454315186, 0.3111853748559952, 0.9213314056396484]",0.9213314056396484
sadness,Working on this third drink tho. . . Someone is tryna challenge me to a cook off. . . they've already ,anger,"[0.9063927233219147, 0.6492379605770111, 0.6014665961265564, 0.15050484240055084, 0.1766182854771614, 0.8147918581962585]",0.9063927233219147
sadness,sounds awful but alot of people are dying recently (( ,sadness,"[0.6821694672107697, 0.9602195918560028, 0.9781769216060638, 0.02733429241925478, 0.9857386648654938, 0.919574499130249]",0.9857386648654938
joy,Getting Ready to Spend Time With Fam --- and is What Life Is All About ,joy,"[0.003651501960121095, 0.001419125299435109, 0.04770564055070281, 0.9889964759349823, 0.003273321664892137, 0.8490292727947235]",0.9889964759349823
joy,Group meeting . hours early. Can't wait to present today and rid myself from this bitch. suitandtie ,anger,"[0.957846999168396, 0.9048951864242554, 0.43516479060053825, 0.6204573214054108, 0.4054548144340515, 0.49794383347034454]",0.957846999168396
joy,is to do calc problems. . . . that has been my life for the last hours and will be for the rest of the night ,surprise,"[0.444617360830307, 0.052300017327070236, 0.14136387780308723, 0.06706044543534517, 0.034234718419611454, 0.45568547025322914]",0.45568547025322914
sadness,Feeling left out. . . I guess I always have my boyfriend. ,sadness,"[0.4243118688464165, 0.473095566034317, 0.1455170176923275, 0.040355813689529896, 0.9609099328517914, 0.8150389790534973]",0.9609099328517914
anger, FUCKS. ME. OFF. Its like. Bitch. This is my ultimate favourite song and you're saying where-EBER? ! hahahaha xx ,anger,"[0.9939217269420624, 0.9672220945358276, 0.5616617798805237, 0.4275403469800949, 0.678765669465065, 0.9718272984027863]",0.9939217269420624
anger, I believe you've just got on to a hypothetical highway that may be leading to the danger zone. mad ,anger,"[0.9859252870082855, 0.8515935838222504, 0.9093542098999023, 0.08673158474266529, 0.40990476962178946, 0.781101405620575]",0.9859252870082855
fear,"So shall they fear the name of the Lord from the west, and his glory from the rising of the sun. . . . . (KJV) glory God ",fear,"[0.44608695805072784, 0.8764698207378387, 0.9896074533462524, 0.9175411760807037, 0.058400584384799004, 0.979856014251709]",0.9896074533462524
surprise,"Decemeber th! ! ! ! ! ! ! COME ON, good night, cant wait ",anger,"[0.9755589365959167, 0.2541821599006653, 0.6442753970623016, 0.9628226459026337, 0.4357767701148987, 0.9466350376605988]",0.9755589365959167
sadness,I only have two class periods left with my favorite teacher. ,sadness,"[0.4335837662220001, 0.06020808266475797, 0.7201464772224426, 0.8283194601535797, 0.8684176802635193, 0.8506840467453003]",0.8684176802635193
anger,Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck ,disgust,"[0.9951921999454498, 0.9954889416694641, 0.9387313723564148, 0.18964146077632904, 0.9492033123970032, 0.8977743983268738]",0.9954889416694641
sadness,been awake since am. too tired for black friday fun. ,anger,"[0.3852631151676178, 0.20266781747341156, 0.16911392658948898, 0.03982519172132015, 0.2254083901643753, 0.2223702371120453]",0.3852631151676178
surprise, when u get a chance u should leave that piece out for min then turn the lights out ,surprise,"[0.7320464849472046, 0.6413353383541107, 0.6983969211578369, 0.6882268786430359, 0.41333626210689545, 0.8556487858295441]",0.8556487858295441
surprise, I would feel obligated if you knew when it happened. It's all about the element of ,surprise,"[0.3731444180011749, 0.21326808631420135, 0.5581618398427963, 0.49231424927711487, 0.3922921270132065, 0.8713846504688263]",0.8713846504688263
fear,"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me. ",fear,"[0.02486310340464115, 0.11923827975988388, 0.9921174347400665, 0.28994520753622055, 0.9401718974113464, 0.6063021123409271]",0.9921174347400665
sadness," Thanks, but I think a puck to the eye means he probably will stay clear of the Garden. ",surprise,"[0.8949878811836243, 0.7326382994651794, 0.8238736689090729, 0.31420740485191345, 0.4876481741666794, 0.9124752581119537]",0.9124752581119537
fear,Father forgive me for my and help me live boldly in Your truth GloryOfTheCross ,sadness,"[0.6618435084819794, 0.6714870035648346, 0.6287143528461456, 0.7783806025981903, 0.8291943073272705, 0.8243880867958069]",0.8291943073272705
sadness,I can't believe I'm saying this but Room by is a big ass simp album. ,surprise,"[0.8993738293647766, 0.7898599207401276, 0.3425646126270294, 0.6530363261699677, 0.34656813740730286, 0.9929518401622772]",0.9929518401622772
fear,Waiting for the start of from  The return of SuperDragon will be a great night! ,joy,"[0.022745502181351185, 0.0018911738879978657, 0.4356906833127141, 0.9908256530761719, 0.0069537481758743525, 0.9562363922595978]",0.9908256530761719
anger,"They're playing Manchester Orchestra in between acts. . . Hey Allston Pudding, I really would have liked to go to that concert. ",anger,"[0.8728741109371185, 0.18669533729553223, 0.14969003945589066, 0.5838972628116608, 0.5143627971410751, 0.6397342085838318]",0.8728741109371185
surprise,SOMETiMES I JUST SiT BACK AND OBSERVE THiNGS ,surprise,"[0.1420358046889305, 0.2049519643187523, 0.18690667301416397, 0.420462891459465, 0.2966429591178894, 0.8658234775066376]",0.8658234775066376
joy,Guess I better start my psychology paper that's due Monday. ,surprise,"[0.41358573734760284, 0.2794429659843445, 0.5083240419626236, 0.21237383037805557, 0.2633371353149414, 0.5339228212833405]",0.5339228212833405
joy,literally haven't seen the sun in a week and it's finally coming out! ,surprise,"[0.6705285608768463, 0.08703632466495037, 0.4293939918279648, 0.9584531486034393, 0.34449850767850876, 0.9768147170543671]",0.9768147170543671
joy,"Since this is the season to give I'm giving God my problems solutions, sickness healing, insecurity a touch of HIS garment! ",fear,"[0.19058867543935776, 0.02026710007339716, 0.8932364284992218, 0.7728621661663055, 0.14673325419425964, 0.880108118057251]",0.8932364284992218
joy,Now for the painful walk downstairs ,sadness,"[0.948210209608078, 0.967533141374588, 0.9175617396831512, 0.014262123266234994, 0.9913847148418427, 0.7116504609584808]",0.9913847148418427
joy,FANTASTIC. My amazing memory saves the day again! Now I can sleep in tomorrow ,joy,"[0.12671387568116188, 0.15636128559708595, 0.18262911587953568, 0.9943204522132874, 0.09886910766363144, 0.9443152546882629]",0.9943204522132874
sadness,Naubusan kami ng slot sa k ng MILO MARATHON | ,surprise,"[0.7598288953304291, 0.6697450280189514, 0.45518623292446136, 0.5576290488243103, 0.27139371633529663, 0.8999812006950378]",0.8999812006950378
fear,People are more likely to die in hospital at the weekend? ,surprise,"[0.6740787625312805, 0.44073139131069183, 0.79726243019104, 0.05246639996767044, 0.5681171417236328, 0.9753018617630005]",0.9753018617630005
joy,"Can honestly say, don't think I've ever done so shit in an exam before ",disgust,"[0.9565599262714386, 0.9634903371334076, 0.8629535734653473, 0.048445116728544235, 0.9522809386253357, 0.9570069313049316]",0.9634903371334076
joy,Barca saraaaw  saaraawwww ya shamaataatiii fehoom Madrid today fayzen w barca finally fell XD ,sadness,"[0.9191766977310181, 0.8037985563278198, 0.8793242275714874, 0.41653749346733093, 0.9842556416988373, 0.8619025945663452]",0.9842556416988373
sadness, haha nah. For the most part im done skating for the season unless we get some really nice days. It's just to cold. ,anger,"[0.868575245141983, 0.5121273994445801, 0.6009773463010788, 0.375847265124321, 0.4296192079782486, 0.7509007751941681]",0.868575245141983
sadness,"If nobody makes plans by tomorrow morning, I'm gonna finally watch all those SVU episodes crowding my DVR. ",anger,"[0.9243181645870209, 0.5621486306190491, 0.8688936829566956, 0.8078894019126892, 0.47877101600170135, 0.8373290002346039]",0.9243181645870209
joy,The world didnt give it and the world cant take it away ,surprise,"[0.5090110898017883, 0.3104652166366577, 0.29233966767787933, 0.6297292411327362, 0.6774327158927917, 0.8418043255805969]",0.8418043255805969
joy,time to start this research paper ,surprise,"[0.31033186614513397, 0.31130100786685944, 0.204135000705719, 0.372159481048584, 0.2995263338088989, 0.5594240725040436]",0.5594240725040436
joy,History wasn't so bad! Now the last exam on tuesday! And that would be N. S! ,anger,"[0.8967176079750061, 0.6446200311183929, 0.808090478181839, 0.7542086839675903, 0.39430782198905945, 0.8856381773948669]",0.8967176079750061
joy,Ready to knock some out before . am today ,joy,"[0.4644481986761093, 0.19575135409832, 0.20293904468417168, 0.8822149038314819, 0.06984897144138813, 0.5762374401092529]",0.8822149038314819
joy, Celebrating your Birthday amp droppin a new album? Livin life w/mad style ) Happy Birthday! ! Xoxo Success ,joy,"[0.722661018371582, 0.044816567562520504, 0.2165433019399643, 0.9697487354278564, 0.01848556660115719, 0.7813108265399933]",0.9697487354278564
joy,I have learned to be content in any situation amp I thank God for peace that surpasses ALL understanding ,joy,"[0.0021539415465667844, 0.003898559371009469, 0.002601535408757627, 0.9670986533164978, 0.003307252423837781, 0.7209344208240509]",0.9670986533164978
joy,Just had possibly the most awkward conversation in my life. ,anger,"[0.9314237534999847, 0.8461140394210815, 0.9233084321022034, 0.029668211936950684, 0.6756574660539627, 0.9063422381877899]",0.9314237534999847
sadness,staging environment. private server. logged in to back-end CMS. opening the front-end in new window. . . too many connections. . . WTF? ,surprise,"[0.9835991859436035, 0.9173377752304077, 0.8124102056026459, 0.08957894146442413, 0.39920707419514656, 0.9923870265483856]",0.9923870265483856
joy,"Soooooo. . . yeah, I think I'm gonna start posting my newest fan fiction. I was gonna wait till I was finish, but I'm excited. D ",joy,"[0.002862424124032259, 0.0025839747104328126, 0.0016216388321481645, 0.9854314029216766, 0.005040262825787067, 0.6784998029470444]",0.9854314029216766
joy,Gotta take a customer out for dinner tonight. not ,anger,"[0.7741823494434357, 0.27624988555908203, 0.41134728491306305, 0.11717898398637772, 0.3471072092652321, 0.4428541958332062]",0.7741823494434357
anger,"quotIn your do not sin do not let the sun go down while you are still angry, and DO NOT GIVE THE DEVIL A FOOTHOLD. quot Ephesians ",anger,"[0.9816928505897522, 0.8374627530574799, 0.4232677221298218, 0.15998229384422302, 0.21785790100693703, 0.7174052298069]",0.9816928505897522
sadness,"sleepy time. cant wait to work with  tomorrow, considering her days are numbered dontwannathinkaboutit ",surprise,"[0.38089874386787415, 0.43960779160261154, 0.697155088186264, 0.6170843243598938, 0.6658503711223602, 0.7238842248916626]",0.7238842248916626
fear, I'm also putting off getting an eye test as I know ill need glasses! ,fear,"[0.8671339452266693, 0.5497321039438248, 0.8888827860355377, 0.11097998544573784, 0.42288973927497864, 0.6965026557445526]",0.8888827860355377
joy," Jon bought me a luffly Radley purse yesterday  very nice, lucky you! ! x ",surprise,"[0.026613278314471245, 0.012513639405369759, 0.04053550213575363, 0.820380687713623, 0.02116243401542306, 0.8387156426906586]",0.8387156426906586
fear,''What is profound might become absolutely meaningless'' ,surprise,"[0.5656398832798004, 0.3822689950466156, 0.8308978378772736, 0.17259850353002548, 0.5522838234901428, 0.8927293121814728]",0.8927293121814728
surprise,back on the internet no such thing as writing essays. ,surprise,"[0.2828233540058136, 0.14061947911977768, 0.1431650072336197, 0.17768549919128418, 0.11609320715069771, 0.4174627661705017]",0.4174627661705017
sadness,I want cake. I bet we don't have any. ,surprise,"[0.7360711991786957, 0.0894705899991095, 0.29611019790172577, 0.6862083822488785, 0.2817986533045769, 0.9779846966266632]",0.9779846966266632
surprise,"Je viens de voir le film Les Schtroumpfs avec mes enfants. Et j'ai beaucoup ri. Par contre, bien sûr téléchargercesttrèsmal ",surprise,"[0.8107800483703613, 0.8108662068843842, 0.7438315749168396, 0.7676654160022736, 0.44468988478183746, 0.9228231012821198]",0.9228231012821198
joy,"Remember, men need laughter sometimes more than food. ",joy,"[0.005195234902203083, 0.0030038977274671197, 0.00352371612098068, 0.9610437750816345, 0.004924145992845297, 0.6137934476137161]",0.9610437750816345
joy,Great. . . thanksgiving. mad people in my house for no apparent reason smh -_- ,anger,"[0.9755877256393433, 0.7109558582305908, 0.5758089125156403, 0.16113871335983276, 0.45171112939715385, 0.8746258616447449]",0.9755877256393433
fear,"Don't believe the lies, look me in the eyes- please don't be scared of me ",fear,"[0.7112104892730713, 0.31049372255802155, 0.968098908662796, 0.15343903377652168, 0.27117323130369186, 0.7882775366306305]",0.968098908662796
joy,"It's so cold in here every freaking girls boobs, including my own, have become their own powerpoint presentation. ",anger,"[0.9778114855289459, 0.8102284073829651, 0.8502524495124817, 0.07141329161822796, 0.5766999796032906, 0.715275913476944]",0.9778114855289459
anger, I received my parcel trashed. It proves it was teared from backside and thing was removed. cheapservice ,anger,"[0.9738008379936218, 0.9724384844303131, 0.7970332205295563, 0.03355852235108614, 0.9323729872703552, 0.8823729157447815]",0.9738008379936218
surprise,"Got approved for a Kay credit card for up to $, going to buy James a watch! Shhhhhh lol ",joy,"[0.1651044338941574, 0.0486055938526988, 0.2137509509921074, 0.8556621968746185, 0.09186305850744247, 0.8189615309238434]",0.8556621968746185
joy,"Abundance is seeing lots and lots of family, eat lots of delicious food, see many beautiful places repeatedly over the last four days. ",joy,"[0.0010145371779799461, 0.0005588422645814717, 0.0009986780351027846, 0.9710089564323425, 0.0007456310850102454, 0.7496136724948883]",0.9710089564323425
surprise,Traffic jam of Bandra-Worli Sea link from Bandra to Worli. ,anger,"[0.9698165059089661, 0.6479583382606506, 0.8210444152355194, 0.04254114255309105, 0.7575964033603668, 0.8078594505786896]",0.9698165059089661
anger,Went upstairs for a min and came back to find my puppy ate a huge corner of my book. . . ,surprise,"[0.950384259223938, 0.9329954385757446, 0.8821015059947968, 0.11070050299167633, 0.846684068441391, 0.9696512818336487]",0.9696512818336487
fear,Little hesitant to apply deodorant ever again ,fear,"[0.4417746067047119, 0.759860098361969, 0.9430893957614899, 0.22898074239492416, 0.4721491038799286, 0.9060049057006836]",0.9430893957614899
joy,Enjoy this Day Beautiful World and Planet Earth's wonderful people! ! ,joy,"[0.01296065584756434, 0.004580871784128249, 0.019644693471491337, 0.9919624626636505, 0.01446138066239655, 0.9702427089214325]",0.9919624626636505
joy,Guess what? Its Thursday and I have tests today. . . ,surprise,"[0.9198755621910095, 0.7428106963634491, 0.9120658934116364, 0.23994233459234238, 0.743687629699707, 0.9867218732833862]",0.9867218732833862
sadness,Packing to leave tomorrow ,sadness,"[0.7562486529350281, 0.5080213844776154, 0.7703877389431, 0.547564372420311, 0.8564164638519287, 0.7927226126194]",0.8564164638519287
surprise,"Had me zo voorgenomen om Josey zelf zijn te laten maken. . . Waarom zit ik dan onder de behanglijm, glitters en verf? ",surprise,"[0.9111286401748657, 0.7907263040542603, 0.8458102345466614, 0.4551161378622055, 0.8619706630706787, 0.9746248722076416]",0.9746248722076416
fear,Is it a lack of or a of loneliness that make people put up with bullshit ,surprise,"[0.5641850829124451, 0.20382699370384216, 0.056240642443299294, 0.02043407503515482, 0.4900800287723541, 0.7499405443668365]",0.7499405443668365
fear, China has it right regarding Don't listen to the rhetoric amp mongering disguising oil amp gas motives ,anger,"[0.8194164633750916, 0.5798034220933914, 0.7672878205776215, 0.019516413565725088, 0.17263899743556976, 0.7481621503829956]",0.8194164633750916
surprise,I haven't listened to I Remember Me in full in a minute ,sadness,"[0.5068433880805969, 0.27269361913204193, 0.45370784401893616, 0.4401886612176895, 0.7653161585330963, 0.6632269620895386]",0.7653161585330963
joy,gotta get up in hours to ride a plane ,fear,"[0.8927702605724335, 0.6947610378265381, 0.9087648689746857, 0.09688498824834824, 0.6548371315002441, 0.8599350452423096]",0.9087648689746857
joy,Happiness may shift with the circumstances but the Joy of the Lord gives you the Victory over the circumstances. ,joy,"[0.0075525580905377865, 0.0062868541572242975, 0.012145129730924964, 0.986070841550827, 0.009612058755010366, 0.6086439341306686]",0.986070841550827
anger,words cant even describe how i feel right nowww! mad cmonguys ,anger,"[0.9926116168498993, 0.936875194311142, 0.7190439999103546, 0.10227420926094055, 0.7804775834083557, 0.9258617758750916]",0.9926116168498993
joy,bawling my eyes out and curled up. . . . i have never felt this sick so far ,disgust,"[0.24743233248591423, 0.9877223372459412, 0.897683173418045, 0.10459019243717194, 0.9756928384304047, 0.9341757595539093]",0.9877223372459412
fear,Had a coffee about hours ago and I'm coming up like a bastard with the and jitters now! Need naggins to calm me down ! ! ! ,fear,"[0.8994036912918091, 0.14478126913309097, 0.9443874955177307, 0.026383182033896446, 0.24633330246433616, 0.7444493472576141]",0.9443874955177307
joy,Working my first Campbell game of the year ,surprise,"[0.54258993268013, 0.3149067237973213, 0.467704102396965, 0.5477805435657501, 0.3176007717847824, 0.7744936943054199]",0.7744936943054199
surprise,Your o dancing like your o big when your boob pops out scotch ,surprise,"[0.34794752299785614, 0.20753490179777145, 0.788747102022171, 0.9126380383968353, 0.11641841940581799, 0.9262602031230927]",0.9262602031230927
joy,After all that ive been through I still have The joy of the Lord is my strength. The devil cant steal my joy. Joy. GM TWEEPS! ! ! ! ,joy,"[0.15677480027079582, 0.02607832057401538, 0.012041917536407709, 0.9875558018684387, 0.004749491694383323, 0.9319199621677399]",0.9875558018684387
anger," you ok? ( is such a good hashtag, love getting evil feelings out that way! ",disgust,"[0.9189567565917969, 0.9760738909244537, 0.7646122574806213, 0.5075158178806305, 0.6571609079837799, 0.5307542830705643]",0.9760738909244537
sadness,Is wanting  to be healthy to join me back in the paint ,surprise,"[0.019600193947553635, 0.005394610809162259, 0.20168431289494038, 0.37444958090782166, 0.10784872993826866, 0.5435298979282379]",0.5435298979282379
surprise,"RT, follow  and WIN one of the special collector items that we are giving away to our Twitter friends! RT WIN ",surprise,"[0.6518787741661072, 0.5143092423677444, 0.6609022617340088, 0.9360937774181366, 0.5417941212654114, 0.9387907981872559]",0.9387907981872559
joy,"Seein' folks, overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass! ",joy,"[0.049283869564533234, 0.009699537185952067, 0.034442635253071785, 0.8413244187831879, 0.009813613258302212, 0.7998098731040955]",0.8413244187831879
joy, COME take pictures with Comet The Bear in the Pearson Commons from - PM! ) Christmas pictures! ! ! ,joy,"[0.07994475960731506, 0.013688272330909967, 0.26896151900291443, 0.7800304889678955, 0.008550428552553058, 0.7447205781936646]",0.7800304889678955
anger,Annoying people who rung you and then hang up once you pick up the phone ,anger,"[0.9968374371528625, 0.9452353119850159, 0.6602955162525177, 0.11333668231964111, 0.701596200466156, 0.8621927499771118]",0.9968374371528625
joy,Lost volleyball game to meadowlark ,sadness,"[0.924570769071579, 0.9182846248149872, 0.6188817620277405, 0.07004157081246376, 0.9629776775836945, 0.8510371446609497]",0.9629776775836945
joy,Nothing like a am dentist appointment to get your day started right. . . whatdididotodeservethis ,anger,"[0.9779539108276367, 0.9729280471801758, 0.8203039765357971, 0.3496708422899246, 0.9521521925926208, 0.9679868519306183]",0.9779539108276367
joy,Successful day of nothingness. D Now back to reality. ,surprise,"[0.23301616311073303, 0.07521883025765419, 0.4624456912279129, 0.5707734078168869, 0.5144248157739639, 0.5990220606327057]",0.5990220606327057
fear,"Looking through old Facebook photos, I noticed circa late spring , aka graduation, that my eyes were bugged out. ",surprise,"[0.9221207499504089, 0.8076993823051453, 0.7265821993350983, 0.5365766286849976, 0.7731851041316986, 0.9544775784015656]",0.9544775784015656
surprise,Arabic coursework deadline extended by a week! ,surprise,"[0.6579676568508148, 0.24718309938907623, 0.3543415516614914, 0.8452804684638977, 0.21666716784238815, 0.9328451156616211]",0.9328451156616211
surprise,"Tyler Seguin (Boston), Ryan Nugent-Hopkins (Edmonton) and Jeff Skinner (Carolina) will not be made available for world juniors. ",sadness,"[0.7757629454135895, 0.6115602552890778, 0.5150186717510223, 0.2460920587182045, 0.8600300550460815, 0.8300213813781738]",0.8600300550460815
surprise,watch'n the news ampamp this lady went to the ER for stomach cramps ampamp had a whole baby . . she didn kno she was preggo what a ,surprise,"[0.930129200220108, 0.9318204820156097, 0.9659900069236755, 0.7647615671157837, 0.9617630541324615, 0.9923844039440155]",0.9923844039440155
joy,"Our storms are designed to test out Faith. As a Christian we have the power to WIN in every situation. Cry but keep flying, ",sadness,"[0.05966757424175739, 0.05961793102324009, 0.22543562203645706, 0.06874013878405094, 0.487207293510437, 0.4138471484184265]",0.487207293510437
joy,mom said someone ant work called her newborn girl LUBNA wohoo ,surprise,"[0.9047711789608002, 0.8973626494407654, 0.6843870580196381, 0.9652352333068848, 0.6710410565137863, 0.9803069233894348]",0.9803069233894348
sadness,"Lol! I just did, too. RT  I forced some down anyway, lol I'll regret it later RT  No room for dessert. ",fear,"[0.6541019380092621, 0.715912789106369, 0.7231580317020416, 0.09838559105992317, 0.33782921358942986, 0.5141270458698273]",0.7231580317020416
anger,We all are not worthy of God's forgiveness. We are saved by His loving grace. Don't harbor resentment. fear ,fear,"[0.34322015196084976, 0.615798145532608, 0.982355922460556, 0.4203975647687912, 0.2370966225862503, 0.5931344926357269]",0.982355922460556
joy,at JAKARTA quotMAGICAL ELECTROquot W/ DJ's  CHRISTWIST KHALID amp MAGICIAN MASTER DANIEL GL DANES  ,surprise,"[0.15674904733896255, 0.07187727838754654, 0.11276432126760483, 0.8063690364360809, 0.04208942875266075, 0.9180831909179688]",0.9180831909179688
sadness,I meet Santa Claus! ! ! ! He said he couldn't bring me  me and  we're sad. ,sadness,"[0.008712965995073318, 0.0853861472569406, 0.013430333696305752, 0.5337293893098831, 0.9971130788326263, 0.9097578823566437]",0.9971130788326263
